letter	frequency
2017-03-15   0.0346456692913
2017-03-16   0.0364372469636
2017-03-17   0.015923566879
2017-03-18   0.0456026058632
2017-03-19   0.0329949238579
2017-03-20   0.0222222222222
2017-03-21   0.0511811023622
2017-03-22   0.0394265232975
2017-03-23   0.078431372549
2017-03-24   0.0239726027397
2017-03-25   0
2017-03-26   0.0383141762452
2017-03-27   0.0622710622711
2017-03-28   0.0441176470588
2017-03-29   0.0669014084507
2017-03-30   0
2017-03-31   0.0613718411552
2017-04-01   0.0870488322718
2017-04-02   0
2017-04-03   0
2017-04-04   0
2017-04-05   0.0162866449511
2017-04-06   0
2017-04-07   0
2017-04-08   0
2017-04-09   0
2017-04-10   0
2017-04-11   0
2017-04-12   0
2017-04-13   0
2017-04-14   0
2017-04-15   0
2017-04-16   0.015479876161
2017-04-17   0
2017-04-18   0
2017-04-19   0.0176056338028
